mol_id,molecule_filename,predicted_gap,homo_ev,lumo_ev,actual_gap_ev,status,prediction_error_ev
MOL_42523,gqd_42523.mol,0.7160023251616427,-9.21203676,-8.22955813,0.98247863,SUCCESS,0.26647630483835727
MOL_87977,gqd_87977.mol,0.7160218871794726,-9.23986805,-8.23720167,1.00266639,SUCCESS,0.28664450282052734
MOL_19662,gqd_19662.mol,0.7161170145430474,-9.2874742,-8.19519891,1.09227529,SUCCESS,0.37615827545695246
MOL_34609,gqd_34609.mol,0.7163166,-9.07543174,-8.46670358,0.60872816,SUCCESS,-0.10758844
MOL_72398,gqd_72398.mol,0.716619407,-9.23977869,-8.30955389,0.9302248,SUCCESS,0.21360539250981692
MOL_27553,gqd_27553.mol,0.7166307081109953,-9.18101862,-8.27800899,0.90300963,SUCCESS,0.18637892188900473
MOL_03345,gqd_03345.mol,0.7166316870395318,-9.00920218,-8.5163902,0.49281198,SUCCESS,-0.223819707
MOL_11502,gqd_11502.mol,0.7166582282762934,-9.34361472,-8.04062105,1.30299367,SUCCESS,0.5863354417237066
MOL_57157,gqd_57157.mol,0.7179353934783503,-8.76677515,-8.73620556,0.03056959,SUCCESS,-0.687365803
MOL_29097,gqd_29097.mol,0.7179406760748672,-9.24012673,-8.20408072,1.03604601,SUCCESS,0.31810533392513274
MOL_53054,gqd_53054.mol,0.7180011702113276,-9.39726372,-7.98479217,1.41247156,SUCCESS,0.6944703897886724
MOL_81760,gqd_81760.mol,0.7180098882257131,-9.05445573,-8.45822571,0.59623002,SUCCESS,-0.121779868
MOL_57572,gqd_57572.mol,0.7180721991039498,-9.26698186,-8.21050088,1.05648098,SUCCESS,0.3384087808960501
MOL_71293,gqd_71293.mol,0.7182046590202863,-9.08001092,-8.40262308,0.67738784,SUCCESS,-0.040816819
MOL_86247,gqd_86247.mol,0.7182758929993003,-9.17415244,-8.33524854,0.8389039,SUCCESS,0.12062800700069976
MOL_30941,gqd_30941.mol,0.7183623675540919,-9.11698049,-8.43421274,0.68276775,SUCCESS,-0.035594618
MOL_78590,gqd_78590.mol,0.718427329,-9.11673355,-8.3015809,0.81515265,SUCCESS,0.096725321
MOL_01521,gqd_01521.mol,0.7184354281178927,-8.86938368,-8.65888409,0.21049959,SUCCESS,-0.507935838
MOL_34030,gqd_34030.mol,0.7338494325073897,-9.33701646,-8.14219795,1.19481851,SUCCESS,0.4609690774926103
MOL_51173,gqd_51173.mol,0.7338501261222775,-9.04931211,-8.46693804,0.58237407,SUCCESS,-0.151476056
MOL_84578,gqd_84578.mol,0.7338601531421295,-9.23991892,-8.22865904,1.01125988,SUCCESS,0.2773997268578706
MOL_37369,gqd_37369.mol,0.7338827700470185,-9.04551961,-8.47617046,0.56934915,SUCCESS,-0.16453362
MOL_58296,gqd_58296.mol,0.7339066807700243,-8.90363415,-8.57713187,0.32650228,SUCCESS,-0.407404401
MOL_70904,gqd_70904.mol,0.734028191,-9.03640561,-8.33636319,0.70004242,SUCCESS,-0.033985771
MOL_94134,gqd_94134.mol,0.7340384347099211,-9.20849331,-8.28363559,0.92485772,SUCCESS,0.19081928529007885
MOL_42098,gqd_42098.mol,0.7341290498480028,-9.3090035,-8.18213133,1.12687217,SUCCESS,0.3927431201519972
MOL_87536,gqd_87536.mol,0.734183669,-8.7447533,-8.72476124,0.01999206,SUCCESS,-0.714191609
MOL_60889,gqd_60889.mol,0.7341843540726652,-8.82398711,-8.72039057,0.10359653,SUCCESS,-0.630587824
MOL_14357,gqd_14357.mol,0.7129831930088393,-8.88774606,-8.61280422,0.27494184,SUCCESS,-0.438041353
MOL_98948,gqd_98948.mol,0.7130731969046077,-9.36302175,-8.19110598,1.17191577,SUCCESS,0.45884257309539234
MOL_76531,gqd_76531.mol,0.7131232390928492,-8.8894013,-8.62852095,0.26088035,SUCCESS,-0.452242889
MOL_89043,gqd_89043.mol,0.713193569,-8.91735693,-8.57514535,0.34221158,SUCCESS,-0.370981989
MOL_38940,gqd_38940.mol,0.7131961642950364,-8.89733291,-8.56823489,0.32909803,SUCCESS,-0.384098134
MOL_31204,gqd_31204.mol,0.7131971024986541,-9.21358217,-8.18842327,1.0251589,SUCCESS,0.311961798
